iter	Logloss
0	0.1043294721
1	0.0812187347
2	0.07621614936
3	0.07554380275
4	0.07263047114
5	0.07050485617
6	0.06634983846
7	0.06617370306
8	0.06361623887
9	0.06171100508
10	0.06168849368
11	0.06101154488
12	0.05895167738
13	0.05846626085
14	0.05706834893
15	0.05670913216
16	0.05611215182
17	0.05485360582
18	0.05271665083
19	0.05111073578
20	0.05045491259
21	0.04944115954
22	0.04905011794
23	0.04811461052
24	0.04687169138
25	0.04577107888
26	0.04517021896
27	0.04417750154
28	0.04332241268
29	0.04216224609
30	0.04186068762
31	0.04148221484
32	0.04109427418
33	0.04055193325
34	0.03929517473
35	0.03850399228
36	0.03779310649
37	0.03722075818
38	0.03613298266
39	0.03538458902
40	0.03463970311
41	0.03425695967
42	0.03415850011
43	0.03378112909
44	0.03333357271
45	0.03251670737
46	0.03199673583
47	0.03174898649
48	0.03139425748
49	0.03132784357
50	0.03042577675
51	0.03020514748
52	0.03008608297
53	0.02961061148
54	0.02947003318
55	0.02900047692
56	0.02863402265
57	0.02801284444
58	0.02737556506
59	0.02706084213
60	0.02669390201
61	0.02637544887
62	0.02599616635
63	0.02576022831
64	0.02551455892
65	0.02536212282
66	0.02498664586
67	0.02463075789
68	0.02440909017
69	0.02413840073
70	0.02392781924
71	0.02368189438
72	0.02364106321
73	0.02353490716
74	0.02336581404
75	0.02323574172
76	0.02300781495
77	0.02278217439
78	0.02276626802
79	0.02271105804
80	0.02243877177
81	0.02216876583
82	0.02182363161
83	0.02159050716
84	0.0212588427
85	0.02105736751
86	0.02095925607
87	0.02080940325
88	0.02067756625
89	0.02054378059
90	0.02031499855
91	0.02007560817
92	0.01992646656
93	0.0198309355
94	0.01970067683
95	0.0195537356
96	0.01938864886
97	0.01922166448
98	0.01912048137
99	0.01887448624
100	0.01882910119
101	0.01877418719
102	0.01861452025
103	0.01850909899
104	0.0183954903
105	0.01823076087
106	0.01809438971
107	0.01803032248
108	0.01786043465
109	0.01780579117
110	0.0177709629
111	0.01760684601
112	0.01749964668
113	0.01745559396
114	0.0173586073
115	0.01732469463
116	0.01723179591
117	0.01715098331
118	0.01704571584
119	0.01694312769
120	0.01681035318
121	0.01670980669
122	0.01665562753
123	0.01662326874
124	0.01657538526
125	0.01641326226
126	0.01630302851
127	0.01618538738
128	0.01602641499
129	0.01599725675
